freq,psd_x,psd_y,psd_z,psd_xyz
184.3,1.898e+04,3.281e+02,3.764e+04,5.694e+04
185.8,2.023e+04,2.813e+02,3.268e+04,5.319e+04
187.4,2.179e+04,2.639e+02,3.227e+04,5.432e+04
188.9,2.522e+04,2.268e+02,3.210e+04,5.755e+04
190.5,3.198e+04,1.922e+02,2.704e+04,5.922e+04
192.0,4.256e+04,2.158e+02,2.420e+04,6.698e+04
193.6,5.093e+04,2.594e+02,2.287e+04,7.406e+04
195.1,5.766e+04,2.555e+02,2.000e+04,7.792e+04
196.7,5.951e+04,2.185e+02,1.658e+04,7.630e+04
198.2,6.348e+04,2.149e+02,1.532e+04,7.901e+04
199.8,7.293e+04,2.241e+02,1.571e+04,8.886e+04
